,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
7061,Salaries for Support Personnel,Undistributed,,ACCTG TECH III,,General,State/Federal Compliance & Accountability,0.5,Instructional Leadership,,,21998.63955,,,General Fund,
4824,Part-Time Hourly,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Security & Monitoring Servicess,,,4963.147023,,,General Fund,
153530,Part-Time Hourly,Athletics and Related,,,,General,School ,,Cocurricular & Extra Curricular Activities,,,53608.10823,,,Athletics,
257139,,Special Education,,,,General,State Hospital,,Instruction,,,471.14,,,General Fund,
268606,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1,Instruction,,,70652.88965,,,General Fund,
146084,Professional Salaries,Career and Technology,,T-HS/V FAM/CONS,,General,School ,0.67,Instruction,,,35486.47157,,,General Fund,
178313,Employee Allowance,Undistributed,,TRAVEL,,General,Accountability,,Data Processing Services,,,2634.483304,,,General Fund,
371096,Professional Salaries,Undistributed,,ELEM ASST PRIN,,General,School ,0.5,School Leadership,,,33498.10802,,,General Fund,
89815,General Supplies,Disciplinary AEP-Basic Services,,,,Language Arts,Secondary Alternative Learning Center,,Instruction,,,1000.61,,,General Fund,
395364,General Supplies,Athletics and Related,,,,Boys Tennis,School ,,Cocurricular & Extra Curricular Activities,,,499.37,,,Athletics,
367109,Professional Salaries,Accelerated Education,,SCIENCE SPEC,,Solution Team,Assoc Superintendent-High Schools,1,Curriculum & Instructional Staff Development,,,71303.56969,,,Title I- Part A,
144432,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,1,Instruction,,,53436.91022,,,General Fund,
388240,Professional Salaries,Basic Educational Services,,T-HS ART,,General,School ,1,Instruction,,,59603.91785,,,General Fund,
15346,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,Hearing Impaired,Prekindergarten Demonstration School,1,Instruction,,,29375.55453,,,IDEA-B Formula,
390432,,Undistributed,,,,General,College Readiness,,Instruction,,,4708.5,,,General Fund,
311925,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,517.66,,,Nat'l Schl Breakfast & Lunch Prog.,
288493,General Supplies,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,283.76,,, Century Community Learning,
134024,Professional Salaries,Special Education,,T-MS/SE LIFE SK,,General,ABD,1,Instruction,,,52515.4362,,,General Fund,
317825,Career Ladder,Bilingual Education,,,,General,School ,,Instruction,,,1639.107677,,,General Fund,
115388,Extra Duty/Signing Bonus Pay,Undistributed,,,,In Dist Charter College Prep,Elementary (Pre-K),,Plant Maintenance & Operations,,,2346.142414,,,General Fund,
330516,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.75,Food Services,,,18763.77778,,,Nat'l Schl Breakfast & Lunch Prog.,
382764,Employee Travel  (including In-District and Out-of-District),Gifted and Talented,,,,Gifted and Talented,School ,,Curriculum & Instructional Staff Development,,,-0.69,,,General Fund,
145256,,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,4999.41,,,Title I- Part A,
391917,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1,Instruction,,,69301.90153,,,General Fund,
100692,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,31826.70742,,,General Fund,
33012,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Instruction,,,10959.50432,,,General Fund,
307915,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.5,Food Services,,,11316.5546,,,Nat'l Schl Breakfast & Lunch Prog.,
16996,Professional Salaries,Basic Educational Services,,T-EL KIN,,General,School ,1,Instruction,,,53437.07022,,,General Fund,
24106,Professional Salaries,Special Education,,PHYS THERAPIST,,Occupation Therapist,Special Education AH/VH,1,Instruction,,,57329.50464,,,IDEA-B Formula,
58816,Extra Duty/Overtime,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Community Services,,,-0.65,,,General Fund,
291909,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,524.7008565,,,General Fund,
146685,,Undistributed,,,,General,Physical Education,,Instructional Leadership,,,949.56,,,General Fund,
51049,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.5,Instruction,,,26943.56646,,,General Fund,
268735,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,0.5,School Leadership,,,14649.29241,,,General Fund,
443278,Miscellaneous Contracted Srvcs,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,15894.42,,, Century Community Learning,
241953,Rental: Land & Buildings,Undistributed,,,,General,Assoc Superintendent-Area  Elementary ,,Instructional Leadership,,,600.13,,,General Fund,
416828,Salaries for Support Personnel,Undistributed,,CUST CREW LDR,,General,School ,1,Plant Maintenance & Operations,,,39349.70489,,,General Fund,
189066,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,3000.07,,,General Fund,
132024,Professional Salaries,Basic Educational Services,, SCIENCE,,General,School ,0.98,Instruction,,,53215.53337,,,General Fund,
218240,Professional Salaries,Basic Educational Services,,T-HS BIOLOGY,,General,School ,1,Instruction,,,62551.39735,,,General Fund,
380222,Professional Salaries,Undistributed,,SUPERINTENDENT,,General,Superintendent,1,General Administration,,,389896.0468,,,General Fund,
91824,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.567677,,,General Fund,
256104,Misc Operating Expenses,Undistributed,,,,General,Construction Management,,Facilities Acquisition & Construction,,,9628.73,,,General Fund,
273034,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1725.61,,,Nat'l Schl Breakfast & Lunch Prog.,
337176,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,440.43,,,IDEA-B Formula,
315613,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,38130,,,General Fund,
441715,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,18707.59,,,Title I- Part A,
20710,Professional Salaries,Prekindergarten,,T-EL KIN BIL,,General,Early Childhood Center,1,Instruction,,,53190.39357,,,General Fund,
399520,Employee Allowance,Athletics and Related,,CELL PHONE,,Mobile Phone,Athletics-External ,,Cocurricular & Extra Curricular Activities,,,523.8308565,,,Athletics,
354710,Salaries for Support Personnel,,,Special Ed Teacher Assistant,,,County Detention Center,1,,,,31265.52576,,,General Fund,
9315,Professional Salaries,Special Education,,T-EL/SE ELY CHI,,General,School ,1,Instruction,,,52739.94087,,,General Fund,
191491,Miscellaneous Contracted Srvcs,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,21777.24,,, Century Community Learning,
442771,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,31812.86045,,,General Fund,
325811,Professional Salaries,Basic Educational Services,,T-EL 1ST BIL,,General,School ,1,Instruction,,,55800.84654,,,General Fund,
187962,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.84375,Food Services,,,22838.06135,,,Nat'l Schl Breakfast & Lunch Prog.,
265947,Professional Salaries,Undistributed,,HS PRINCIPAL,,General,School ,1,School Leadership,,,129656.6502,,,General Fund,
178671,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,14.59,,,Nat'l Schl Breakfast & Lunch Prog.,
164368,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,199.71,,,General Fund,
418451,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,500.65,,,General Fund,
79487,Employee Allowance,Basic Educational Services,,,,General,School ,,Instruction,,,-0.03,,,General Fund,
147764,General Supplies,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,1149.55,,, Century Community Learning,
420720,Student Meals/Room/Other,Basic Educational Services,,,,Band,School ,,Instruction,,,0.87,,,General Fund,
374733,Extra Duty/Overtime,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,1525.818576,,,General Fund,
422425,Substitute for Other Professionals,Undistributed,,,,General,School ,,School Leadership,,,3276.865353,,,General Fund,
374783,General Supplies,Basic Educational Services,,,,Choral Music,School ,,Instruction,,,2980.36,,,General Fund,
93171,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,31813.81045,,,General Fund,
447458,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1,Instruction,,,76054.00479,,,General Fund,
74216,Part-Time Hourly,Special Education,,,,Hearing Impaired,State Deaf,,Curriculum & Instructional Staff Development,,,-0.92,,,IDEA-B-Discretionary,
248760,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,District Police,,Security & Monitoring Servicess,,,786.7912848,,,General Fund,
33764,Professional Salaries,Undistributed,,V/H TEST TECH,,General,Health Services,1,Health Services,,,63918.81668,,,General Fund,
225908,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2183.990599,,,General Fund,
81397,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3277.225353,,,General Fund,
88817,Employee Allowance,State Comp.Ed.-Support Title I Campuses,,TRAVEL,,Account For Learning,School ,,Community Services,,,432.6977066,,,General Fund,
49877,Extra Duty/Overtime,Special Education,,,,General,School ,,Instruction,,,0.81,,,General Fund,
431189,General Supplies,Special Education,,,,Special Education,Pre-K Center,,Instruction,,,70.25,,,IDEA-B Formula,
395499,General Supplies,Special Education,,,,Occupation Therapist,ABD,,Instruction,,,5841.33,,,General Fund,
228766,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,29334.6579,,,General Fund,
85119,Professional Salaries,Special Education,,T-EL/SE SOC BEH,,General,School ,1,Instruction,,,59851.08356,,,General Fund,
447670,Food ,Undistributed,,,,General,School ,,Food Services,,,110542.2,,,Nat'l Schl Breakfast & Lunch Prog.,
345802,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,28896.90222,,,General Fund,
322877,Salaries for Support Personnel,Undistributed,,HEAD CUST I,,General,School ,1,Plant Maintenance & Operations,,,41924.57737,,,General Fund,
230842,Extra Duty/Signing Bonus Pay,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.59,,,General Fund,
92873,,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,4999.9,,,Title I- Part A,
317244,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,54202.85934,,,General Fund,
178329,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,1,Student Transportation,,,32519.30775,,,General Fund,
284283,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,30484.24254,,,General Fund,
296751,USDA Donated Commodities,Undistributed,,,,General,School ,,Food Services,,,5886.27,,,Nat'l Schl Breakfast & Lunch Prog.,
246786,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,16041.91,,,General Fund,
438358,Professional Salaries,Special Education,,T-EL/SE ELY CHI,,General,School ,1,Instruction,,,59602.96785,,,General Fund,
294076,Career Ladder,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,1723.27,,,Title I- Part A,
87096,Professional Services,Accelerated Education,,,,General,"School, Family and Community Education",,Social Work Services,,,101992.53,,,General Fund,
225048,Extra Duty/Signing Bonus Pay,High School Allotment,,,,General,School ,,Instruction,,,17478.58522,,,General Fund,
54784,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1574.03,,,Nat'l Schl Breakfast & Lunch Prog.,
357520,Extra Duty/Overtime,Special Education,,,,General,School ,,Instruction,,,-0.49,,,General Fund,
7473,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Instruction,,,10959.34432,,,General Fund,
423328,Professional Salaries,Basic Educational Services,, ART,,General,School ,0.5,Instruction,,,26718.04011,,,General Fund,
295119,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,1087.84,,,General Fund,
374238,Salaries for Support Personnel,Undistributed,,PAINTER II,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,52387.68418,,,General Fund,
172347,Professional Salaries,Basic Educational Services,,T-HS SCI- GEN'L,,General,School ,1,Instruction,,,52514.6862,,,General Fund,
118781,Professional Salaries,Special Education,,T-MS/SE INCLUS,,General,School ,1,Instruction,,,56227.2182,,,General Fund,
219143,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,12898.633,,,Title I- Part A,
302436,Professional Salaries,Special Education,,T-HS/SE READING,,General,School ,0.33,Instruction,,,17441.56011,,,General Fund,
13017,Professional Salaries,Basic Educational Services,,T-HS PHYSICS,,General,School ,1,Instruction,,,56227.6582,,,General Fund,
317487,Custodial/Maint Supplies,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,8155.04,,,General Fund,
169136,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1,Instruction,,,52514.9762,,,General Fund,
376187,Salaries for Support Personnel,Undistributed,,FINISHER,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,46830.97039,,,General Fund,
43674,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2184.330599,,,General Fund,
181537,Professional Salaries,Accelerated Education,,BIL INST/CURR S,,Reading Literacy,School ,0.5,Curriculum & Instructional Staff Development,,,35663.42397,,,General Fund,
36158,Extra Duty/Signing Bonus Pay,Undistributed,,DEPT CHAIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,6042.238871,,,General Fund,
446456,Extra Duty/Signing Bonus Pay,Undistributed,,DEPT CHAIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,6042.928871,,,General Fund,
208383,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,40223.12737,,,General Fund,
181497,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1,Instruction,,,53864.89431,,,General Fund,
357595,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,32192.46215,,,General Fund,
2961,Salaries for Support Personnel,Undistributed,,CLERK V- CENT,,General,Food Service,1,Food Services,,,49429.5148,,,Nat'l Schl Breakfast & Lunch Prog.,
169172,Employee Travel  (including In-District and Out-of-District),Career and Technology,,,,General,School to Work,,Instructional Leadership,,,1000.38,,,General Fund,
402070,Salaries for Support Personnel,Undistributed,,ATTEND SPEC III,,General,School ,1,School Leadership,,,36693.00641,,,General Fund,
118698,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,119156.79,,,General Fund,
309672,General Supplies,Career and Technology,,,,Health Science,School ,,Instruction,,,4199.13,,,General Fund,
160916,Extra Duty/Overtime,Undistributed,,,,General,School ,,School Leadership,,,0.81,,,General Fund,
252874,Salaries for Support Personnel,Undistributed,,SECURITY GUARD,,General,School ,1,Security & Monitoring Servicess,,,32588.78105,,,General Fund,
225435,Miscellaneous Contracted Srvcs,Accelerated Education,,,,Support NI-AU (Needs Improvement-Academically Unacceptable),School ,,Instruction,,,0.5,,,General Fund,
198782,Professional Salaries,Special Education,,T-MS/SE SCORES,,General,School ,1,Instruction,,,64328.61805,,,General Fund,
186855,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,PARENT SUP SPEC,,Account For Learning,School ,0.5,Community Services,,,26107.08048,,,General Fund,
203639,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.855057,,,Athletics,
181165,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,3530.59,,,Title I- Part A,
171766,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,119157.18,,,General Fund,
383565,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,602.27,,,Nat'l Schl Breakfast & Lunch Prog.,
264383,General Supplies,Athletics and Related,,,,Girls Tennis,School ,,Cocurricular & Extra Curricular Activities,,,499.78,,,Athletics,
440345,Student Meals/Room/Other,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,949.42,,,General Fund,
216192,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,31789.44783,,,IDEA-B Formula,
304127,Subs for Support Personnel,Basic Educational Services,,,,General,School ,,Instruction,,,8518.106663,,,General Fund,
2506,Professional Salaries,Athletics and Related,,ATHL TRAINER,,General,School ,1,Cocurricular & Extra Curricular Activities,,,57303.31859,,,Athletics,
155334,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,34993.69161,,,General Fund,
449260,Professional Salaries,Basic Educational Services,, SCI- GEN',,General,School ,1,Instruction,,,60278.37522,,,General Fund,
81904,General Supplies,Career and Technology,,,,Criminal Justice,School ,,Instruction,,,2749.6,,,General Fund,
34741,Salaries for Support Personnel,Undistributed,,PARENT SUP SPEC,,General,School ,0.5,Community Services,,,20477.77133,,,General Fund,
352852,Professional Salaries,Special Education,,T-MS/SE INCLUS,,General,School ,1,Instruction,,,52964.1589,,,General Fund,
219075,Professional Services,Undistributed,,,,General,Board of Trustees,,General Administration,,,25000.44,,,General Fund,
100913,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,2468.07,,,General Fund,
310817,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1,Instruction,,,54203.22934,,,General Fund,
142089,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,4796.19,,,General Fund,
84513,Salaries for Support Personnel,Undistributed,,HEAD CUST I,,General,School ,1,Plant Maintenance & Operations,,,40510.77909,,,General Fund,
182735,Extra Duty/Signing Bonus Pay,Special Education,,,,Cycle  (used for grants),School ,,Curriculum & Instructional Staff Development,,,0.03,,,IDEA-B Formula,
108363,Employee Travel  (including In-District and Out-of-District),Accelerated Education,,,,AVID supplement,College Readiness,,Curriculum & Instructional Staff Development,,,-0.24,,,General Fund,
160239,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,799.73,,,Title I- Part A,
225015,Misc Operating Expenses,High School Allotment,,,,General,School ,,Instruction,,,13619.77,,,General Fund,
30933,,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,500.47,,,Title I- Part A,
70327,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,54877.92008,,,General Fund,
41423,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1542.71,,,Nat'l Schl Breakfast & Lunch Prog.,
140606,Part-Time Hourly,Undistributed,,,,General,Social Studies,,Curriculum & Instructional Staff Development,,,-0.14,,,General Fund,
180308,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,999.61,,,General Fund,
258895,Extra Duty/Signing Bonus Pay,Basic Educational Services,,EXTRA CLASS,,General,School ,,Instruction,,,8253.133672,,,General Fund,
310321,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,52627.589,,,General Fund,
49302,Professional Salaries,Bilingual Education,,T-EL 4TH BIL,,General,School ,1,Instruction,,,52627.489,,,General Fund,
448270,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,ABD,1,Instruction,,,32378.89412,,,General Fund,
59735,Professional Salaries,Special Education,,ORIEN/MOBIL INS,,Visual Impaired,Special Education AH/VH,0.5,Instruction,,,27481.33238,,,IDEA-B Formula,
82013,Employee Allowance,Accelerated Education,,CELL PHONE,,General,Learning Support Services,,"Guidance, Counseling and Evaluation Services",,,437.2773804,,,General Fund,
141186,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,Delta,School ,,Instruction,,,2184.166902,,,General Fund,
439473,Professional Salaries,Accelerated Education,,MENTOR TCHR,,General,School ,1,Curriculum & Instructional Staff Development,,,65477.99992,,,Teacher Incentive Grant (TIF) Effective  ,
77405,,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,1999.88,,,General Fund,
222425,Miscellaneous Contracted Srvcs,Accelerated Education,,,,General,Human Resources,,General Administration,,,2304.33,,,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",
362213,Extra Duty/Signing Bonus Pay,Athletics and Related,,"AHC, VAR FOOTBL",,General,School ,,Cocurricular & Extra Curricular Activities,,,7346.226502,,,Athletics,
283371,Custodial/Maint Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Plant Maintenance & Operations,,,400.11,,,General Fund,
274080,Professional Salaries,Undistributed,,HS ASST PRIN,,General,School ,1,School Leadership,,,80801.3453,,,General Fund,
366208,Salaries for Support Personnel,Accelerated Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,36515.16019,,,General Fund,
341922,Field Trips,Undistributed,,,,General,Science/Health Res Ctr,,Cocurricular & Extra Curricular Activities,,,14999.89,,,General Fund,
443535,Professional Salaries,Undistributed,,ELEM ASST PRIN,,General,School ,0.5,School Leadership,,,33497.79802,,,General Fund,
80337,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,52515.3962,,,General Fund,
157207,Career Ladder,Bilingual Education,,CL ,,General,School ,,Instruction,,,3277.225353,,,General Fund,
161520,Misc Operating Expenses,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.08,,,General Fund,
9965,Extra Duty/Signing Bonus Pay,Athletics and Related,,MS ATHLETIC COR,,General,School ,,Cocurricular & Extra Curricular Activities,,,1296.850701,,,Athletics,
198386,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,SCH IMPROV FACI,,General,School ,1,School Leadership,,,69744.79231,,,Title I- Part A,
79728,Software,Undistributed,,,,General,Superintendent,,General Administration,,,15700.29,,,General Fund,
150165,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,1,Student Transportation,,,31372.39341,,,General Fund,
284895,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Office of Facilities,,Plant Maintenance & Operations,,,524.6408565,,,General Fund,
78501,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.8125,Food Services,,,24039.45215,,,Nat'l Schl Breakfast & Lunch Prog.,
277689,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,32803.69904,,,General Fund,
178561,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1,Instruction,,,54112.83759,,,General Fund,
370164,,Undistributed,,,,General,Special Programs,,Instructional Leadership,,,1200.5,,,General Fund,
102268,Subs for Support Personnel,Basic Educational Services,,,,General,School ,,Instruction,,,6715.626219,,,General Fund,
10018,Professional Salaries,Bilingual Education,,T-HS ESL,,Bilingual & Spec Lang,School ,0.5,Instruction,,,27561.6879,,,General Fund,
312773,Miscellaneous Contracted Srvcs,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,17999.87,,,Title I- Part A,
303568,Professional Salaries,Basic Educational Services,, SPEECH,,General,School ,0.2,Instruction,,,10709.55042,,,General Fund,
3589,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,1,Student Transportation,,,25719.86932,,,General Fund,
85804,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.9167,Student Transportation,,,28918.16663,,,General Fund,
412978,Equipment Maintenance Repairs,Undistributed,,,,General,School ,,Food Services,,,13508.14,,,Nat'l Schl Breakfast & Lunch Prog.,
79505,Career Ladder,Undistributed,,CL ,,General,School ,,"Guidance, Counseling and Evaluation Services",,,3276.405353,,,General Fund,
352406,Salaries for Support Personnel,Accelerated Education,,CLERK V- CENT,,Cycle  (used for grants),"School, Family and Community Education",0.5,Community Services,,,22105.1698,,,Title III-B Homeless children,
201557,Professional Services,Accelerated Education,,,,Bilingual & Spec Lang,Summer School,,Instruction,,,13000.73,,,General Fund,
109545,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, TRACK",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.969466,,,Athletics,
400865,General Supplies,Basic Educational Services,,,,Music Lab,School ,,Instruction,,,190.09,,,General Fund,
330186,Employee Allowance,Accelerated Education,,CELL PHONE,,Mobile Phone,Prekindergarten Demonstration School,,School Leadership,,,524.4208565,,,General Fund,
350474,Professional Salaries,Special Education,,LSSP,,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",,,64807.48567,,,IDEA-B Formula,
49597,Electricity,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,282778.93,,,General Fund,
359932,Professional Salaries,Special Education,,T-EL/SE ELY CHI,,General,School ,1,Instruction,,,52514.6262,,,General Fund,
